Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Matches,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
401,Adrien Rabiot,fr FRA,MID,Juventus,24,1995,12.3,0,0,0,7,1,0,14.3,0.57,0.08,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4,Matches,0,0.4,-0.4,8,615,683,90.0,17,38,44.7,510,541,94.3,88,104,84.6,526,113,2,1,0,9,45,5,1
402,Ivan Radovanović,rs SRB,MID,Genoa,30,1988,14.6,0,0,0,16,4,0,25.0,1.09,0.27,0.00,0.00,0.8,0.8,0.05,-0.8,-0.8,Matches,1,0.6,+0.4,15,689,797,86.4,3,8,37.5,456,497,91.8,230,292,78.8,95,649,24,2,1,4,85,10,3
403,Ionuț Radu,ro ROU,GK,Genoa,22,1997,17.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,1,0.1,+0.9,1,535,659,81.2,2,2,100.0,333,335,99.4,200,322,62.1,117,436,40,0,0,0,12,1,0
404,Ștefan Radu,ro ROU,DEF,Lazio,32,1986,19.8,1,0,0,5,1,0,20.0,0.25,0.05,0.20,1.00,0.2,0.2,0.04,+0.8,+0.8,Matches,0,0.3,-0.3,8,915,1045,87.6,21,31,67.7,679,733,92.6,215,281,76.5,836,131,27,0,0,18,80,9,5
405,Rafael,br BRA,GK,Cagliari,37,1982,5.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,107,153,69.9,2,2,100.0,48,48,100.0,57,103,55.3,95,34,19,0,0,0,1,0,0
406,Daniele Ragatzu,it ITA,MID,Cagliari,27,1991,0.4,1,0,0,1,1,0,100.0,2.43,2.43,1.00,1.00,0.1,0.1,0.07,+0.9,+0.9,Matches,0,0.2,-0.2,1,23,33,69.7,2,3,66.7,18,22,81.8,3,8,37.5,4,28,1,0,2,1,1,0,0
407,Gastón Ramírez,uy URU,MID,Sampdoria,28,1990,9.9,5,1,1,25,10,3,40.0,2.52,1.01,0.16,0.40,3.2,2.5,0.10,+1.8,+1.5,Matches,1,1.6,-0.6,18,289,411,70.3,8,11,72.7,219,264,83.0,62,136,45.6,351,20,29,1,34,5,21,13,1
408,Aaron Ramsey,wal WAL,MID,Juventus,28,1990,7.9,2,0,0,19,7,0,36.8,2.42,0.89,0.11,0.29,2.1,2.1,0.11,-0.1,-0.1,Matches,0,1.3,-1.3,12,430,500,86.0,14,23,60.9,376,421,89.3,40,56,71.4,68,399,4,1,1,3,37,3,0
409,Luca Ranieri,it ITA,DEF,Fiorentina,20,1999,2.6,0,0,0,3,0,0,0.0,1.17,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1,Matches,0,0.8,-0.8,5,137,159,86.2,0,3,0.0,97,102,95.1,40,54,74.1,141,6,7,0,0,7,12,1,1
410,Andrea Ranocchia,it ITA,DEF,Inter,31,1988,2.0,0,0,0,1,0,0,0.0,0.50,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0,Matches,0,0.0,0.0,0,110,119,92.4,1,1,100.0,44,49,89.8,65,69,94.2,12,98,4,0,0,0,8,0,0
411,Giacomo Raspadori,it ITA,FWD,Sassuolo,19,2000,0.4,0,0,0,2,1,0,50.0,5.63,2.81,0.00,0.00,0.3,0.3,0.13,-0.3,-0.3,Matches,0,0.0,0.0,1,7,13,53.8,1,2,50.0,3,6,50.0,3,5,60.0,4,9,0,0,1,0,2,0,0
412,Ante Rebić,hr CRO,FWD,Milan,25,1993,6.7,6,0,0,20,9,0,45.0,2.97,1.33,0.30,0.67,3.1,3.1,0.16,+2.9,+2.9,Matches,0,0.9,-0.9,13,125,201,62.2,3,18,16.7,103,138,74.6,19,45,42.2,54,126,0,0,2,2,5,14,4
413,Arkadiusz Reca,pl POL,DEF,SPAL,24,1995,16.4,0,0,0,17,5,0,29.4,1.04,0.30,0.00,0.00,1.8,1.8,0.11,-1.8,-1.8,Matches,1,1.5,-0.5,18,529,725,73.0,9,43,20.9,434,510,85.1,86,172,50.0,367,173,4,0,0,137,35,12,8
414,Vasco Regini,it ITA,DEF,Sampdoria,28,1990,1.9,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,1,54,65,83.1,1,1,100.0,39,42,92.9,14,22,63.6,39,14,4,0,0,2,7,0,0
415,Pepe Reina,es ESP,GK,Milan,36,1982,1.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,27,37,73.0,0,0,0,10,10,100.0,17,27,63.0,1,27,4,0,0,0,1,0,0
416,Franck Ribéry,fr FRA,FWD,Fiorentina,36,1983,7.9,2,0,0,17,8,1,47.1,2.15,1.01,0.12,0.25,2.3,2.3,0.13,-0.3,-0.3,Matches,2,1.7,+0.3,17,319,378,84.4,6,17,35.3,253,284,89.1,60,77,77.9,38,329,1,3,0,2,39,24,3
