Player,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
Marc Navarro,0,0,0,5,0,0,0.0,2.05,0.00,0.00,0,0.2,0.2,0.04,-0.2,-0.2
Ximo Navarro,0,0,0,3,1,0,33.3,0.22,0.07,0.00,0.00,0.3,0.3,0.10,-0.3,-0.3
Jesús Navas,0,0,0,8,2,0,25.0,0.33,0.08,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1
Raúl Navas,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Neto,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Carlos Neva,0,0,0,3,1,0,33.3,0.21,0.07,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
Saúl Ñíguez,2,0,0,31,6,1,19.4,1.35,0.26,0.06,0.33,2.2,2.2,0.07,-0.2,-0.2
Fernando Niño,1,0,0,1,1,0,100.0,6.43,6.43,1.00,1.00,0.3,0.3,0.26,+0.7,+0.7
Nolito,3,0,0,28,12,0,42.9,2.79,1.19,0.11,0.25,2.2,2.2,0.08,+0.8,+0.8
Unai Núñez,0,0,0,2,1,0,50.0,0.21,0.11,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1
Allan Nyom,2,0,0,8,3,0,37.5,0.44,0.16,0.25,0.67,0.5,0.5,0.06,+1.5,+1.5
Jan Oblak,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Lucas Ocampos,7,1,1,46,19,0,41.3,2.50,1.03,0.13,0.32,4.5,3.7,0.08,+2.5,+2.3
Álvaro Odriozola,0,0,0,2,0,0,0.0,0.52,0.00,0.00,0,0.2,0.2,0.08,-0.2,-0.2
Lucas Olaza,1,0,0,12,5,5,41.7,0.55,0.23,0.08,0.20,0.8,0.8,0.07,+0.2,+0.2
Kiko Olivas,1,0,0,4,3,0,75.0,0.17,0.12,0.25,0.33,0.7,0.7,0.18,+0.3,+0.3
Paulo Oliveira,1,0,0,9,3,0,33.3,0.57,0.19,0.11,0.33,0.9,0.9,0.10,+0.1,+0.1
Mathías Olivera,0,0,0,3,0,0,0.0,0.36,0.00,0.00,0,0.4,0.4,0.13,-0.4,-0.4
Kenneth Omeruo,1,0,0,3,1,0,33.3,0.19,0.06,0.33,1.00,0.6,0.6,0.19,+0.4,+0.4
Javier Ontiveros,2,0,0,28,10,5,35.7,7.97,2.85,0.07,0.20,1.4,1.4,0.05,+0.6,+0.6
Fabián Orellana,6,3,3,30,13,1,43.3,1.57,0.68,0.10,0.23,5.3,3.0,0.10,+0.7,0.0
Mikel Oyarzabal,7,3,3,41,15,0,36.6,1.96,0.72,0.10,0.27,6.6,4.3,0.10,+0.4,-0.3
Fernando Pacheco,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Daniel Parejo,6,5,5,19,6,12,31.6,0.88,0.28,0.05,0.17,5.0,1.2,0.06,+1.0,-0.2
Thomas Partey,2,0,0,17,3,0,17.6,0.92,0.16,0.12,0.67,0.8,0.8,0.05,+1.2,+1.2
Gabriel Paulista,1,0,0,6,2,0,33.3,0.28,0.09,0.17,0.50,0.6,0.6,0.10,+0.4,+0.4
Alfonso Pedraza,0,0,0,8,2,0,25.0,0.92,0.23,0.00,0.00,0.4,0.4,0.05,-0.4,-0.4
Marc Pedraza,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Pedrosa,1,0,0,12,5,0,41.7,1.31,0.55,0.08,0.20,1.5,1.5,0.13,-0.5,-0.5
Rubén Peña,1,0,0,4,2,0,50.0,0.31,0.16,0.25,0.50,0.6,0.6,0.15,+0.4,+0.4
Luis Perea,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Victor Perea,0,0,0,4,1,0,25.0,0.41,0.10,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1
Gonzalo Pereira Cejudo,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Carles Pérez,1,0,0,14,6,0,42.9,2.66,1.14,0.07,0.17,1.0,1.0,0.07,0.0,0.0
Iñigo Pérez,1,0,0,9,3,2,33.3,1.90,0.63,0.11,0.33,0.7,0.7,0.08,+0.3,+0.3
Juan Pérez,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Lucas Pérez,9,4,4,28,10,1,35.7,1.51,0.54,0.18,0.50,7.1,4.1,0.15,+1.9,+0.9
Rubén Pérez,0,0,0,10,2,0,20.0,0.69,0.14,0.00,0.00,0.2,0.2,0.02,-0.2,-0.2
Pablo Piatti,0,0,0,3,0,0,0.0,5.09,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1
Cristiano Piccini,0,0,0,1,0,0,0.0,1.20,0.00,0.00,0,0.1,0.1,0.07,-0.1,-0.1
Tomás Pina Isla,1,0,0,1,1,0,100.0,0.10,0.10,1.00,1.00,0.8,0.8,0.79,+0.2,+0.2
Pipa,0,0,0,1,1,0,100.0,0.78,0.78,0.00,0.00,0.4,0.4,0.37,-0.4,-0.4
Gerard Piqué,1,0,0,8,3,1,37.5,0.36,0.14,0.13,0.33,1.3,1.3,0.16,-0.3,-0.3
Óscar Plano,3,0,0,33,11,0,33.3,1.66,0.55,0.09,0.27,3.9,3.9,0.12,-0.9,-0.9
Pere Pons,1,0,0,4,1,0,25.0,0.53,0.13,0.25,1.00,0.2,0.2,0.05,+0.8,+0.8
Pedro Porro,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Francisco Portillo,0,0,0,3,1,0,33.3,0.81,0.27,0.00,0.00,0.3,0.3,0.10,-0.3,-0.3
Portu,7,0,1,28,12,0,42.9,1.51,0.65,0.25,0.58,4.9,4.2,0.15,+2.1,+2.8
Sergio Postigo,1,0,0,4,2,0,50.0,0.23,0.11,0.25,0.50,0.6,0.6,0.16,+0.4,+0.4
Darío Poveda,0,0,0,1,0,0,0.0,12.86,0.00,0.00,0,0.1,0.1,0.15,-0.1,-0.1
Alejandro Pozo Pozo,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Alejandro Pozo Pozo,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Abdón Prats,0,0,1,6,4,0,66.7,3.62,2.42,0.00,0.00,1.3,0.5,0.09,-1.3,-0.5
Andrés Prieto,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Antonio Puertas,5,0,0,32,10,0,31.3,1.67,0.52,0.16,0.50,4.9,4.9,0.15,+0.1,+0.1
Riqui Puig,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Quini,0,0,0,10,0,0,0.0,1.25,0.00,0.00,0,0.2,0.2,0.02,-0.2,-0.2
Xavi Quintillà,0,0,0,3,1,2,33.3,0.20,0.07,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2
