Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
48,Marc Bartra,es ESP,DEF,Betis,28,1991,20.9,2,0,0,16,4,0,25.0,0.76,0.19,0.13,0.50,1.2,1.2,0.08,+0.8,+0.8,1,0.7,+0.3,3,1001,1159,86.4,19,28,67.9,665,720,92.4,317,411,77.1,111,944,60,4,0,0,54,4,0
49,Gil Bastião Dias,pt POR,FWD,Granada,22,1996,0.9,0,0,0,2,1,0,50.0,2.14,1.07,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1,0,0.0,0.0,1,14,23,60.9,0,3,0.0,10,13,76.9,4,7,57.1,20,1,0,1,1,1,1,0,0
50,Fran Beltrán,es ESP,MID,Celta Vigo,20,1999,13.1,0,0,0,9,2,0,22.2,0.69,0.15,0.00,0.00,1.0,1.0,0.11,-1.0,-1.0,0,0.4,-0.4,8,553,623,88.8,7,19,36.8,417,455,91.6,129,149,86.6,80,523,13,0,3,2,42,2,0
51,Hatem Ben Arfa,fr FRA,MID,Valladolid,32,1987,0.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3,4,75.0,0,0,0,1,1,100.0,2,3,66.7,4,0,0,0,0,0,0,1,0
52,Karim Benzema,fr FRA,FWD,Real Madrid,31,1987,22.7,13,2,2,88,38,1,43.2,3.88,1.68,0.13,0.29,12.0,10.5,0.12,+1.0,+0.5,6,4.7,+1.3,42,678,818,82.9,26,56,46.4,559,645,86.7,93,117,79.5,156,639,0,3,0,0,49,36,1
53,Yuri Berchiche,es ESP,DEF,Athletic Bilbao,29,1990,22.0,2,0,0,27,8,0,29.6,1.23,0.36,0.07,0.25,1.1,1.1,0.04,+0.9,+0.9,1,1.7,-0.7,18,925,1150,80.4,17,54,31.5,720,825,87.3,188,271,69.4,792,91,24,1,0,203,75,23,10
54,Markel Bergara,es ESP,MID,Getafe,33,1986,0.8,0,0,0,1,0,0,0.0,1.29,0.00,0.00,0,0.2,0.2,0.23,-0.2,-0.2,0,0.1,-0.1,1,10,19,52.6,0,2,0.0,10,16,62.5,0,1,0.0,2,9,0,0,0,0,0,0,0
55,Sergio Bermejo,es ESP,FWD,Celta Vigo,21,1997,0.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3,3,100.0,0,0,0,3,3,100.0,0,0,0,3,0,0,0,0,0,0,1,0
56,Pedro Bigas,es ESP,DEF,Eibar,28,1990,8.6,0,0,0,3,1,0,33.3,0.35,0.12,0.00,0.00,0.7,0.7,0.23,-0.7,-0.7,0,0.3,-0.3,3,214,315,67.9,2,4,50.0,121,153,79.1,91,158,57.6,142,89,12,0,0,24,11,3,1
57,Rubén Blanco,es ESP,GK,Celta Vigo,24,1995,23.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,432,720,60.0,1,1,100.0,205,210,97.6,226,509,44.4,91,490,81,0,0,1,6,0,0
58,Pablo de Blasis,ar ARG,DEF,Eibar,31,1988,11.0,0,0,0,4,1,1,25.0,0.36,0.09,0.00,0.00,0.3,0.3,0.07,-0.3,-0.3,2,1.4,+0.6,8,455,644,70.7,8,23,34.8,314,375,83.7,133,246,54.1,60,408,24,1,5,123,58,11,4
59,Yassine Bounou,ma MAR,GK,Sevilla,28,1991,0.5,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7,13,53.8,0,0,0,1,1,100.0,6,12,50.0,11,2,2,0,0,0,1,0,0
60,Filip Bradarić,hr CRO,MID,Celta Vigo,27,1992,1.4,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,47,62,75.8,0,1,0.0,40,50,80.0,7,11,63.6,9,49,1,0,1,0,4,0,0
61,Martin Braithwaite,dk DEN,FWD,Barcelona,28,1991,0.2,0,0,0,1,1,0,100.0,5.00,5.00,0.00,0.00,0.3,0.3,0.31,-0.3,-0.3,0,0.0,0.0,0,2,4,50.0,0,0,0,1,3,33.3,1,1,100.0,2,2,0,0,0,0,0,0,0
62,Martin Braithwaite,dk DEN,FWD,Leganés,28,1991,21.5,6,0,1,40,16,1,40.0,1.86,0.74,0.15,0.38,6.5,5.8,0.14,-0.5,+0.2,1,1.2,-0.2,12,269,390,69.0,8,26,30.8,231,310,74.5,30,54,55.6,41,254,1,3,0,1,25,9,0
63,Brandon,es ESP,FWD,Osasuna,24,1995,4.5,0,0,0,9,2,0,22.2,1.99,0.44,0.00,0.00,0.9,0.9,0.10,-0.9,-0.9,1,0.4,+0.6,4,82,117,70.1,2,10,20.0,73,94,77.7,7,13,53.8,19,79,0,0,0,4,1,3,1
64,Darko Brašanac,rs SRB,MID,Osasuna,27,1992,16.7,0,0,0,15,6,0,40.0,0.90,0.36,0.00,0.00,1.5,1.5,0.10,-1.5,-1.5,1,0.8,+0.2,13,398,526,75.7,15,39,38.5,322,401,80.3,61,86,70.9,106,345,8,1,0,2,32,6,1
65,Yan Brice Eteki,cm CMR,MID,Granada,21,1997,8.5,0,0,0,5,0,0,0.0,0.59,0.00,0.00,0,0.3,0.3,0.05,-0.3,-0.3,0,0.1,-0.1,3,180,213,84.5,9,17,52.9,127,142,89.4,44,54,81.5,14,182,2,0,0,0,17,1,0
66,Bryan,es ESP,FWD,Sevilla,18,2001,0.7,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,24,28,85.7,3,4,75.0,21,21,100.0,0,3,0.0,27,1,0,0,0,0,1,0,0
67,Bryan,es ESP,MID,Leganés,18,2001,0.6,0,0,0,1,0,0,0.0,1.55,0.00,0.00,0,0.0,0.0,0.04,0.0,0.0,0,0.1,-0.1,1,13,21,61.9,1,5,20.0,11,14,78.6,1,2,50.0,18,0,0,0,1,2,0,0,0
68,Ante Budimir,hr CRO,FWD,Mallorca,28,1991,22.1,9,0,0,40,13,0,32.5,1.81,0.59,0.23,0.69,6.7,6.7,0.17,+2.3,+2.3,2,0.8,+1.2,9,259,391,66.2,29,48,60.4,210,307,68.4,20,36,55.6,209,49,0,0,0,0,21,4,0
69,Esteban Burgos,ar ARG,DEF,Eibar,27,1992,5.8,1,0,0,2,1,0,50.0,0.35,0.17,0.50,1.00,0.8,0.8,0.39,+0.2,+0.2,0,0.0,0.0,0,126,188,67.0,0,2,0.0,50,62,80.6,76,124,61.3,19,140,9,0,0,0,13,1,0
70,Burgui,es ESP,MID,Alavés,25,1993,0.2,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4,7,57.1,0,0,0,3,5,60.0,1,2,50.0,1,6,1,0,0,0,1,0,0
71,Oliver Burke,sco SCO,MID,Alavés,22,1997,8.6,1,0,0,13,3,0,23.1,1.51,0.35,0.08,0.33,2.6,2.6,0.20,-1.6,-1.6,1,0.4,+0.6,2,145,206,70.4,7,14,50.0,128,169,75.7,10,23,43.5,18,147,0,0,0,4,5,3,0
72,Sergio Busquets,es ESP,MID,Barcelona,31,1988,18.0,2,0,0,8,4,0,50.0,0.44,0.22,0.25,0.50,1.1,1.1,0.13,+0.9,+0.9,2,2.1,-0.1,18,1549,1719,90.1,43,67,64.2,1212,1306,92.8,294,346,85.0,240,1415,65,11,0,2,152,21,0
73,Unai Bustinza,es ESP,DEF,Leganés,27,1992,20.6,0,0,0,7,3,0,42.9,0.34,0.15,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4,1,1.0,0.0,11,617,873,70.7,14,35,40.0,421,504,83.5,182,334,54.5,23,625,29,3,0,102,72,6,2
74,Erick Cabaco,uy URU,DEF,Levante,24,1995,9.0,0,0,0,4,0,0,0.0,0.45,0.00,0.00,0,0.3,0.3,0.06,-0.3,-0.3,0,0.1,-0.1,2,275,349,78.8,4,6,66.7,166,184,90.2,105,159,66.0,27,294,21,1,0,0,15,1,0
75,Ariday Cabrera,es ESP,MID,Mallorca,30,1988,0.4,0,0,0,1,1,0,100.0,2.57,2.57,0.00,0.00,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0,9,11,81.8,0,1,0.0,5,6,83.3,4,4,100.0,1,8,1,0,0,2,1,0,0
