Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
44,Karim Bellarabi,de GER,FWD,Leverkusen,29,1990,12.7,3,0,0,49,21,0,42.9,3.84,1.65,0.06,0.14,4.8,4.8,0.10,-1.8,-1.8,3,2.8,+0.2,18,408,587,69.5,7,41,17.1,333,413,80.6,68,133,51.1,48,475,1,1,1,47,23,12,3
45,Lars Bender,de GER,DEF,Leverkusen,30,1989,14.7,2,0,0,15,2,0,13.3,1.02,0.14,0.13,1.00,0.8,0.8,0.06,+1.2,+1.2,1,1.1,-0.1,17,873,1028,84.9,21,46,45.7,706,790,89.4,146,192,76.0,108,738,12,1,0,138,52,10,1
46,Sven Bender,de GER,DEF,Leverkusen,30,1989,22.1,0,0,0,10,2,0,20.0,0.45,0.09,0.00,0.00,0.7,0.7,0.07,-0.7,-0.7,1,0.1,+0.9,2,1649,1794,91.9,14,19,73.7,1126,1202,93.7,509,573,88.8,374,1300,40,1,0,1,50,3,0
47,László Bénes,sk SVK,MID,M'gladbach,21,1997,9.1,0,0,0,19,6,5,31.6,2.09,0.66,0.00,0.00,1.0,1.0,0.05,-1.0,-1.0,4,2.3,+1.7,19,346,457,75.7,5,15,33.3,237,283,83.7,104,159,65.4,368,48,30,3,28,9,52,7,0
48,Ramy Bensebaini,dz ALG,DEF,M'gladbach,24,1995,7.1,3,1,1,6,4,0,66.7,0.85,0.57,0.33,0.50,1.8,1.1,0.18,+1.2,+0.9,0,0.3,-0.3,4,302,380,79.5,3,17,17.6,242,277,87.4,57,86,66.3,240,61,14,1,0,64,17,1,1
49,Valon Berisha,xk KVX,MID,Düsseldorf,26,1993,3.5,0,0,0,3,1,0,33.3,0.87,0.29,0.00,0.00,0.4,0.4,0.14,-0.4,-0.4,0,0.3,-0.3,4,113,145,77.9,2,5,40.0,83,97,85.6,28,43,65.1,17,117,2,0,4,2,9,2,0
50,Louis Beyer,de GER,DEF,M'gladbach,19,2000,1.2,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,33,41,80.5,2,2,100.0,23,27,85.2,8,12,66.7,3,29,0,0,0,6,0,0,0
51,Ermin Bičakčić,ba BIH,DEF,Hoffenheim,29,1990,8.4,2,0,0,3,2,0,66.7,0.36,0.24,0.67,1.00,0.4,0.4,0.12,+1.6,+1.6,0,0.4,-0.4,1,443,502,88.2,3,8,37.5,331,354,93.5,109,140,77.9,141,325,6,1,0,4,26,4,0
52,Leonardo Bittencourt,de GER,FWD,Hoffenheim,25,1993,0.0,0,0,0,1,0,0,0.0,45.00,0.00,0.00,0,0.0,0.0,0.04,0.0,0.0,0,0.0,0.0,0,2,3,66.7,0,0,0,2,3,66.7,0,0,0,0,3,0,0,0,0,0,0,0
53,Leonardo Bittencourt,de GER,FWD,Werder Bremen,25,1993,16.5,2,0,0,32,9,0,28.1,1.94,0.54,0.06,0.22,2.3,2.3,0.07,-0.3,-0.3,0,2.4,-2.4,26,547,736,74.3,14,43,32.6,458,558,82.1,75,135,55.6,151,479,5,3,14,63,38,14,3
