Rk,Player,Position,Squad,90s,Assists,xA,Assists-xA,KeyPasses,Total Completed Passes,Total Attempted Passes,Total Pass Completion %,Short Completed Passes,Short Attempted Passes,Short Pass Completion %,Medium Completed Passes,Medium Attempted Passes,Medium Pass Completion %,Long Completed Passes,Long Attempted Passes,Long Pass Completion %,Through Ball Passes,Corner Kicks,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
554,Petr Ševčík,MID,cz Slavia Prague,5.0,0,0.5,-0.5,7,236,282,83.7,2,8,25.0,203,235,86.4,31,39,79.5,0,1,18,4,0,0,0,0,6,1,0,16.7,1.20,0.20,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2
555,Xherdan Shaqiri,MID,eng Liverpool,0.0,0,0.0,0.0,0,4,4,100.0,0,0,0,4,4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
556,Oleg Shatov,MID,ru Zenit,2.6,0,0.1,-0.1,2,94,121,77.7,2,5,40.0,76,91,83.5,16,25,64.0,1,4,4,1,0,0,0,0,2,0,0,0.0,0.77,0.00,0.00,0,0.2,0.2,0.11,-0.2,-0.2
557,Danylo Sikan,FWD,ua Shakhtar,0.0,0,0.0,0.0,0,2,2,100.0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
558,Bernardo Silva,FWD,eng Manchester City,3.8,1,0.4,+0.6,3,240,267,89.9,8,14,57.1,191,206,92.7,41,47,87.2,1,5,16,6,2,0,0,0,2,0,0,0.0,0.53,0.00,0.00,0,0.2,0.2,0.12,-0.2,-0.2
559,David Silva,MID,eng Manchester City,1.2,0,0.2,-0.2,1,79,93,84.9,3,7,42.9,67,77,87.0,9,9,100.0,1,0,5,4,0,0,0,0,3,0,0,0.0,2.45,0.00,0.00,0,0.5,0.5,0.16,-0.5,-0.5
560,Rafa Silva,FWD,pt Benfica,1.4,1,0.5,+0.5,2,46,58,79.3,1,5,20.0,40,46,87.0,5,7,71.4,0,0,3,1,0,1,0,0,3,1,0,33.3,2.18,0.73,0.33,1.00,0.2,0.2,0.08,+0.8,+0.8
561,Thiago Silva,DEF,fr Paris S-G,6.0,0,0.0,0.0,1,380,408,93.1,3,4,75.0,284,294,96.6,93,110,84.5,1,0,27,0,0,0,0,0,2,0,0,0.0,0.33,0.00,0.00,0,0.3,0.3,0.16,-0.3,-0.3
562,Daley Sinkgraven,DEF,de Bayer,1.1,0,0.0,0.0,0,78,85,91.8,1,2,50.0,61,64,95.3,16,19,84.2,0,0,7,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
563,Moussa Sissoko,MID,eng Tottenham,4.6,1,0.2,+0.8,3,222,251,88.4,4,11,36.4,177,191,92.7,41,49,83.7,0,0,20,1,0,0,0,0,2,0,0,0.0,0.43,0.00,0.00,0,0.2,0.2,0.09,-0.2,-0.2
564,Mario Šitum,MID,hr Dinamo Zagreb,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
565,Oliver Skipp,MID,eng Tottenham,0.3,0,0.0,0.0,0,17,17,100.0,0,0,0,14,14,100.0,3,3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
566,Milan Škoda,FWD,cz Slavia Prague,0.8,1,0.4,+0.6,1,16,22,72.7,0,1,0.0,16,20,80.0,0,1,0.0,0,0,0,0,0,0,0,0,1,1,0,100.0,1.25,1.25,0.00,0.00,0.2,0.2,0.23,-0.2,-0.2
567,Milan Škriniar,DEF,it Inter,6.0,0,0.1,-0.1,3,279,330,84.5,4,6,66.7,199,213,93.4,76,111,68.5,0,0,14,0,0,0,0,0,1,1,0,100.0,0.17,0.17,0.00,0.00,0.0,0.0,0.02,0.0,0.0
568,Igor Smolnikov,DEF,ru Zenit,1.5,0,0.0,0.0,0,56,69,81.2,1,1,100.0,43,52,82.7,12,16,75.0,1,1,2,1,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
569,Fyodor Smolov,FWD,ru Loko Moscow,2.2,0,0.0,0.0,1,38,50,76.0,1,2,50.0,29,37,78.4,8,11,72.7,0,0,1,2,0,0,0,0,3,0,0,0.0,1.34,0.00,0.00,0,0.2,0.2,0.06,-0.2,-0.2
570,Eduard Sobol,DEF,be Club Brugge,2.9,0,0.0,0.0,0,86,115,74.8,0,5,0.0,76,89,85.4,10,21,47.6,1,0,11,2,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
571,Carlos Soler,MID,es Valencia,3.4,0,0.0,0.0,0,68,90,75.6,0,3,0.0,61,77,79.2,7,10,70.0,0,0,3,1,0,1,0,0,5,2,0,40.0,1.49,0.59,0.20,0.50,0.5,0.5,0.10,+0.5,+0.5
572,Manor Solomon,FWD,ua Shakhtar,1.5,0,0.0,0.0,1,32,42,76.2,0,2,0.0,26,31,83.9,6,9,66.7,0,3,2,1,1,2,0,0,3,2,0,66.7,2.01,1.34,0.67,1.00,0.8,0.8,0.25,+1.2,+1.2
573,Tomáš Souček,MID,cz Slavia Prague,6.0,0,0.2,-0.2,5,259,310,83.5,4,10,40.0,168,199,84.4,87,101,86.1,1,0,26,2,1,2,1,1,12,5,0,41.7,2.00,0.83,0.08,0.20,1.8,1.0,0.09,+0.2,0.0
574,Adama Soumaoro,DEF,fr Lille,1.0,0,0.0,0.0,0,26,31,83.9,1,2,50.0,19,20,95.0,6,9,66.7,0,0,4,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
575,Boubakary Soumaré,MID,fr Lille,5.9,0,0.6,-0.6,6,243,278,87.4,3,6,50.0,173,193,89.6,67,79,84.8,0,0,36,2,0,0,0,0,2,1,0,50.0,0.34,0.17,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
576,Nicolae Stanciu,MID,cz Slavia Prague,5.1,0,1.3,-1.3,11,211,288,73.3,3,18,16.7,157,179,87.7,51,91,56.0,1,25,18,9,1,0,0,0,20,7,7,35.0,3.90,1.37,0.00,0.00,1.1,1.1,0.05,-1.1,-1.1
577,Cican Stankovic,GK,at RB Salzburg,3.4,0,0.0,0.0,0,56,86,65.1,0,0,0,29,29,100.0,27,57,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
578,Taras Stepanenko,MID,ua Shakhtar,6.0,0,0.0,0.0,0,257,292,88.0,5,11,45.5,174,193,90.2,78,88,88.6,1,0,16,0,0,0,0,0,4,1,0,25.0,0.67,0.17,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2
